Date;Group;Series;Value
09/12/2009;Treasury Bills;SE 12M;n/a
10/12/2009;Treasury Bills;SE 12M;n/a
11/12/2009;Treasury Bills;SE 12M;n/a
14/12/2009;Treasury Bills;SE 12M;n/a
15/12/2009;Treasury Bills;SE 12M;n/a
16/12/2009;Treasury Bills;SE 12M;n/a
17/12/2009;Treasury Bills;SE 12M;n/a
18/12/2009;Treasury Bills;SE 12M;0.43
21/12/2009;Treasury Bills;SE 12M;0.425
22/12/2009;Treasury Bills;SE 12M;0.441
23/12/2009;Treasury Bills;SE 12M;0.42
28/12/2009;Treasury Bills;SE 12M;0.429
29/12/2009;Treasury Bills;SE 12M;0.429
30/12/2009;Treasury Bills;SE 12M;0.415
04/01/2010;Treasury Bills;SE 12M;0.426
05/01/2010;Treasury Bills;SE 12M;0.431
07/01/2010;Treasury Bills;SE 12M;0.373
08/01/2010;Treasury Bills;SE 12M;0.327
11/01/2010;Treasury Bills;SE 12M;0.324
12/01/2010;Treasury Bills;SE 12M;0.319
13/01/2010;Treasury Bills;SE 12M;0.34
14/01/2010;Treasury Bills;SE 12M;0.329
15/01/2010;Treasury Bills;SE 12M;0.31
18/01/2010;Treasury Bills;SE 12M;0.305
19/01/2010;Treasury Bills;SE 12M;0.322
20/01/2010;Treasury Bills;SE 12M;0.317
21/01/2010;Treasury Bills;SE 12M;0.32
22/01/2010;Treasury Bills;SE 12M;0.303
25/01/2010;Treasury Bills;SE 12M;0.319
26/01/2010;Treasury Bills;SE 12M;0.317
27/01/2010;Treasury Bills;SE 12M;0.324
28/01/2010;Treasury Bills;SE 12M;0.328
29/01/2010;Treasury Bills;SE 12M;0.35
01/02/2010;Treasury Bills;SE 12M;0.359
02/02/2010;Treasury Bills;SE 12M;0.375
03/02/2010;Treasury Bills;SE 12M;0.382
04/02/2010;Treasury Bills;SE 12M;0.365
05/02/2010;Treasury Bills;SE 12M;0.324
08/02/2010;Treasury Bills;SE 12M;0.363
09/02/2010;Treasury Bills;SE 12M;0.364
10/02/2010;Treasury Bills;SE 12M;0.363
11/02/2010;Treasury Bills;SE 12M;0.464
12/02/2010;Treasury Bills;SE 12M;0.487
15/02/2010;Treasury Bills;SE 12M;0.512
16/02/2010;Treasury Bills;SE 12M;0.515
17/02/2010;Treasury Bills;SE 12M;0.517
18/02/2010;Treasury Bills;SE 12M;0.529
19/02/2010;Treasury Bills;SE 12M;0.544
22/02/2010;Treasury Bills;SE 12M;0.546
23/02/2010;Treasury Bills;SE 12M;0.513
24/02/2010;Treasury Bills;SE 12M;0.495
25/02/2010;Treasury Bills;SE 12M;0.481
26/02/2010;Treasury Bills;SE 12M;0.467
01/03/2010;Treasury Bills;SE 12M;0.432
02/03/2010;Treasury Bills;SE 12M;0.427
03/03/2010;Treasury Bills;SE 12M;0.445
04/03/2010;Treasury Bills;SE 12M;0.473
05/03/2010;Treasury Bills;SE 12M;0.512
08/03/2010;Treasury Bills;SE 12M;0.512
09/03/2010;Treasury Bills;SE 12M;0.532
10/03/2010;Treasury Bills;SE 12M;0.57
11/03/2010;Treasury Bills;SE 12M;0.582
12/03/2010;Treasury Bills;SE 12M;0.586
15/03/2010;Treasury Bills;SE 12M;0.58
16/03/2010;Treasury Bills;SE 12M;0.56
17/03/2010;Treasury Bills;SE 12M;0.545
18/03/2010;Treasury Bills;SE 12M;0.555
19/03/2010;Treasury Bills;SE 12M;0.555
